id,nome,p_venda,p_custo,quantidade,descricao,data_cadastro,data_mod
0,produto 5,34.0,30.0,150,testando modificação,,
1,produto 2,11.0,9.9,69,,,
2,produto 3,18.0,16.2,85,,,
3,produto 4,20.0,18.0,90,,,
5,produto 6,10.0,9.0,69,,,
98,produto 7,12.0,10.8,66,produto novo,,25/05/2021
7,produto 8,17.0,15.3,44,,,
8,produto 9,19.0,17.1,48,,,
9,produto 10,10.0,9.0,94,,,
4,produto 11,50.0,45.0,15,produto modificado,,25/05/2021
10,produto 12,12.0,10.0,0,,,
11,produto 13,12.0,10.0,0,testando descrição,,
13,teste,21.0,12.0,0,,24/05/2021,24/05/2021
14,teste 2,12.0,12.0,0,,24/05/2021,24/05/2021
15,teste 1,10.5,9.75,0,,24/05/2021,24/05/2021
16,teste 4,31.0,29.0,35,,24/05/2021,24/05/2021
17,teste 5,0.0,0.0,0,,24/05/2021,24/05/2021
18,teste 8,0.0,0.0,0,,24/05/2021,24/05/2021
19,teste 6,0.0,0.0,0,,24/05/2021,24/05/2021
12,novo,0.0,0.0,0,,25/05/2021,25/05/2021
20,honks,0.0,0.0,0,,25/05/2021,25/05/2021
