id,horario,produtos,total,pago,formato,mod
0,12:52,234/5-432/1,426.65,500.0,dinheiro,0
1,12:54,499/4,299.0,500.0,dinheiro,0
2,12:55,143/1,55.2,100.0,dinheiro,0
4,12:57,345/10-321/2,834.9,1000.0,dinheiro,0
5,12:58,234/1,77.05,100.0,dinheiro,0
6,12:59,286/1-451/1-198/1,173.65,200.0,dinheiro,0
7,13:01,199/1-287/1-365/1,129.95,0.0,cartão de débito,0
8,13:02,234/1-54/1-87/1-32/1,240.35,0.0,cartão de débito,0
3,13:07,1/1-2/1-3/1-4/1-5/1-6/1-7/1-8/1-9/1-10/1-11/1-12/1-13/1-14/1-15/1-16/1,940.7000000000002,0.0,cartão de crédito,0
9,13:10,2/1-3/1,34.5,50.0,dinheiro,0
10,13:11,3/1-2/1-3/1,48.3,50.0,dinheiro,0
11,13:12,453/1,4.6,0.0,dinheiro,0
13,13:14,31/1,35.65,0.0,dinheiro,0
14,13:16,45/1,9.2,10.0,dinheiro,0
15,13:18,45/1,9.2,0.0,dinheiro,0
16,13:18,465/1,34.5,0.0,dinheiro,0
